日期,上证指数涨跌幅,深证成指涨跌幅,创业板指涨跌幅,上涨家数,下跌家数,平盘家数,涨停家数,跌停家数,A股总成交额(元),情绪分数
<<<<<<< HEAD
20251124,0.0489,0.375,0.307,4228,1104,108.0,79,33,1740347100000.0002,65.6179294228846
20251125,0.8668,1.5274,1.7716,4299,994,145.0,95,5,1826169700000.0,87.98819189025468
20251126,-0.1509,1.0215,2.139,1692,3593,149.0,76,6,1797190800000.0,62.0060548480491
20251127,0.2866,-0.2529,-0.4401,2790,2447,197.0,63,14,1723171900000.0,61.809910213271124
20251128,0.3442,0.8457,0.7024,4122,1193,118.0,81,6,1597730900000.0,81.72163681839768
20251201,0.6534,1.2526,1.3074,3398,1872,162.0,75,7,1889448900000.0002,74.09127129830878
20251202,-0.4165,-0.6847,-0.6904,1544,3740,152.0,54,7,1607266000000.0,53.68811504222537
=======
20251117,,,,2584.0,2726.0,127.0,100.0,10.0,1930321700000.0,73.46516007532958
20251118,,,,1278.0,4106.0,56.0,62.0,36.0,1945959300000.0,36.49479940564636
20251119,,,,1200.0,4175.0,67.0,64.0,33.0,1742665299999.9998,38.330232558139535
20251120,,,,1453.0,3850.0,138.0,49.0,20.0,1722634200000.0,43.659834056194605
20251121,-2.4462,-3.4108,-4.0186,354.0,5072.0,18.0,33.0,99.0,1983599600000.0,12.509657206044968
20251122,,,,354.0,5072.0,18.0,33.0,99.0,1983599600000.0,12.509657206044968
20251123,,,,354.0,5072.0,18.0,33.0,99.0,1983599600000.0,12.509657206044968
20251128,,,,4122.0,1193.0,118.0,81.0,6.0,1597730900000.0,81.72163681839768
20251127,,,,2790.0,2447.0,197.0,63.0,14.0,1723171900000.0,61.80991021327112
20251126,,,,1692.0,3593.0,149.0,76.0,6.0,1797190800000.0,62.0060548480491
20251125,,,,4299.0,994.0,145.0,95.0,5.0,1826169700000.0,87.98819189025468
20251124,,,,4228.0,1104.0,108.0,79.0,33.0,1740347100000.0,65.6179294228846
20251130,0.3442,0.8457,0.7024,4122.0,1193.0,118.0,81.0,6.0,1597730900000.0,81.72163681839768
20251201,,,,3398.0,1872.0,162.0,75.0,7.0,1889448900000.0,74.09127129830878
>>>>>>> eea0219c415a1197af4a887c6c494aa058889f16
